Title,Description,Group,Board,Created,Updated,URL
Asking unnecessary information,,Forms & application details,Tags,2026-02-10 11:45,2026-06-02 13:15,https://tqresearchrepo.dovetail.com/tags/2OhvGJsDNkW1jtT4Ph4t51
RequestAPlan,,"Location plans, addresses and mapping",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2WrZYnuHPloUeqxaOtcUgA
Infrequent,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/341gjw1ia95w17u31CHqgF
Window replacement,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/35snrjMHDguQY8JiJkoGYd
NI PP,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/36nsEER3ciqfCiJ8HOrL8N
Agent/applicant name/details,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/39LZWWGrAjBG0kfkLVspwB
Projects,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-06-02 13:17,https://tqresearchrepo.dovetail.com/tags/3cdltlqHhdTljIazRhGM73
Listed building application,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3cKZEWG0pIgjpvyNzMr6D8
Nominations,,Payments,Tags,2026-02-10 11:45,2026-06-02 11:51,https://tqresearchrepo.dovetail.com/tags/3ilJ2UbrXpEmzX74TI0WKU
Easy to use/ Straightforward,,Overall Positive Experience,Tags,2026-02-10 11:45,2026-06-04 10:29,https://tqresearchrepo.dovetail.com/tags/3mpnlvX6pnrywspOJNhiZV
Support email,,Customer support & human assistance,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3mNuf6vVX0yL1kOK77erxp
Document tagging,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3pQkuZbIaEKIUNNz9nqxxS
Submit directly to LPA (bypass portal),,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3qGIWhwaxddG3X1GqOW2Dd
Login details,,General UX ,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3u8oUFPw1vGb7nCPLmGvqt
Guidance,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-04-09 11:06,https://tqresearchrepo.dovetail.com/tags/3wZTLeiUoeXpV8Jna85Hr1
Misc,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3x5fldHWrssZgkUVVgEHIA
Pre-apps,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3yKJUcSq86E8hcAGSUV8oe
Edit form,,Forms & application details,Tags,2026-04-08 11:28,2026-04-08 11:28,https://tqresearchrepo.dovetail.com/tags/3Dg8G68nXAuwNreQCOrmj0
Progress indicator,,General UX ,Tags,2026-02-10 11:45,2026-02-12 10:21,https://tqresearchrepo.dovetail.com/tags/3HR8VXxfSwT7SszuEPFXM4
Housing type / dwelling format,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3HXp04UXCPvunNChZjiteC
uses of each storey,,Planning App/work types,Tags,2026-04-09 11:10,2026-04-09 11:11,https://tqresearchrepo.dovetail.com/tags/3IZJspxIWYGCPSRi4PFBiH
Content,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3MklDKnTeoNP5TbboWxwAw
Owner details,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3OKD0VOgzQZFwQxOPhCxQI
Positive experience/ other praises,,Overall Positive Experience,Tags,2026-02-10 11:45,2026-06-04 10:33,https://tqresearchrepo.dovetail.com/tags/3PmfkdZskaENkcUUcSmDec
CIL forms,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3Py8F9ki6rkNJcyGCJezrg
Seeked AI support,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3QN5y1sDExSbl4g3eaG26M
Required documents,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3Sy92emN4cmeuyWpVZrKYN
Too complex,,Negative experience,Tags,2026-02-10 11:45,2026-02-12 09:59,https://tqresearchrepo.dovetail.com/tags/3TZjacorBaTqsqmySTviP8
Crash/ data loss/ error message,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3VMJSa6DRRXlCAHWdmCDzj
Confusing,,Negative experience,Tags,2026-02-10 11:45,2026-06-04 10:17,https://tqresearchrepo.dovetail.com/tags/3XQ5BdholmhM1r2M9LfAtv
Out of date,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3Yg7i1eXtQVH2N7BPuSsGx
Architectural designer/ Architect/ Designer,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3Yze8FuXpETCsFc9hydFLh
Frustration,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-06-02 13:39,https://tqresearchrepo.dovetail.com/tags/3YEpq9dJ2adtFdvHc3SJNt
Non-tech users,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/42FTpf2E3i0XhtpBVeLJoW
Communication/ marketting,,Communication & engagement,Tags,2026-02-10 11:45,2026-06-02 13:40,https://tqresearchrepo.dovetail.com/tags/4305IfDaxHBez9DSBCBxlt
Non-development purpose,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/44M34YGomvfYwAnInAIOpR
Document deletion,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/477rVUO8ExlDaLQLwYIVKq
Profile / declaration name,,General UX ,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/478yrukYK0oPc6NxbyT6hH
BNG / Biodiversity metric,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/47pQUkvc4yTc9A3ZiRM38c
Word count,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4b1zL6VXOV07OTmSJWNyes
Use classes,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4cd2KBAy7uyfPnQUYiLVPd
Choosing LPA,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4cm220MBGEOnAgtVZIQHoH
Delays,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4e2AnfNAXHjAJGYTOOll15
Hard to navigate,,Negative experience,Tags,2026-02-10 11:45,2026-06-02 13:24,https://tqresearchrepo.dovetail.com/tags/4hMyTJLcp2TLllLMZrGzSh
Non material change,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4hYBRzwtvKaG1uKjR3Ykd4
Is Cheap,,"Fees, charges and quotes",Tags,2026-02-12 10:33,2026-02-12 10:33,https://tqresearchrepo.dovetail.com/tags/4jiRkYpIUeba6q1hDFHUgo
Fee calculator,,"Fees, charges and quotes",Tags,2026-02-10 11:45,2026-06-04 10:34,https://tqresearchrepo.dovetail.com/tags/4jtqXHjpeIEpRJmY0h0TLn
Document description,,Document upload and handling,Tags,2026-02-10 11:45,2026-06-04 10:36,https://tqresearchrepo.dovetail.com/tags/4lZjJTyLtKlp9yChjgJWcf
Design/ language/ general outlook of the app,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4mY6Y1IC1GXUtUUguMy2b4
Designers,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4np2XjjrICt8ZvEGw1zUKa
Long process,,Negative experience,Tags,2026-02-10 11:45,2026-06-02 09:45,https://tqresearchrepo.dovetail.com/tags/4okl7JB4IOwJa4zWaIfWAD
Maps for prior approval applications,,"Location plans, addresses and mapping",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4tErro6Tc2BtgtPx8GOQSr
Workaround,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4xsIDnHSPyZOTi0Cq3X7e5
Upfront information,,General UX ,Tags,2026-02-10 11:45,2026-04-08 13:01,https://tqresearchrepo.dovetail.com/tags/4y2nQvBekLzqIHbrQQzavM
Commercial property,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4C2jtPCEnzgKPfxRFfRr4B
Asking repetitive information,,Forms & application details,Tags,2026-02-10 11:45,2026-06-02 13:13,https://tqresearchrepo.dovetail.com/tags/4D4Aw7oSBu4DsEwkgWVKRq
Clarity,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-04-09 11:06,https://tqresearchrepo.dovetail.com/tags/4DdQP2mjb4mTaNpNn03dYQ
Fee Auth,,"Fees, charges and quotes",Tags,2026-04-09 11:01,2026-06-04 10:34,https://tqresearchrepo.dovetail.com/tags/4Eg73iddVw1eFID0aJ8gCV
Easy to navigate,,Overall Positive Experience,Tags,2026-02-10 11:45,2026-02-12 10:51,https://tqresearchrepo.dovetail.com/tags/4F273ftK1ywanbMB4WupyW
Full planning application,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4L5lpu2G5rHbZ0QQXbPDw1
Missing information,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4M3wxwVi5vQfIxwknCx5zm
Information section,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/4O98c8EkSKp7c2dzVvcMWp
Hard to use,,Negative experience,Tags,2026-02-10 11:45,2026-06-04 10:16,https://tqresearchrepo.dovetail.com/tags/4TD5ISGpLP67vnLHLagTAZ
Payment options,,Payments,Tags,2026-02-10 11:45,2026-06-02 13:39,https://tqresearchrepo.dovetail.com/tags/4TIRBRTOGwltHSjQai8DQs
Customer support,,Customer support & human assistance,Tags,2026-02-10 11:45,2026-06-02 13:50,https://tqresearchrepo.dovetail.com/tags/4YYlUC5IaSdcbijZoY08eW
Previous Experience,,Challenges and Workarounds,Tags,2026-02-12 10:00,2026-02-12 11:23,https://tqresearchrepo.dovetail.com/tags/4ZeNI9HqgCQS2k3hl9HBKE
Payments,,Payments,Tags,2026-02-10 11:45,2026-06-02 13:37,https://tqresearchrepo.dovetail.com/tags/57w3RPzPoznJCsHhPTNVD7
Discharge conditions,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5aYekqVRw2c4zbYdGX7ak0
Suggestions,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-06-04 10:35,https://tqresearchrepo.dovetail.com/tags/5bfMV0kSwWfueKhIBZov3i
Blocker,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5dGFf2ehVoGFegPPow39EG
Rejection/ Amendment,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5e2cEQKNGntxj4jO772u9U
Application name,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5fPOlNyrMbDUHSbJSgPgB6
Not intuitive,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5i5C31RLfsR2QjRqBPBFkY
Contact,,Contact,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5iSOMGjvOlGHx4lhXoTD3D
Missed inputting information,,General UX ,Tags,2026-02-10 11:45,2026-04-08 12:43,https://tqresearchrepo.dovetail.com/tags/5kHA52tdvMCFHYxNjStzmt
Card limit,,Payments,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5p8f7pXOfAL8Pn7h68jOhZ
inspection fee,,"Fees, charges and quotes",Tags,2026-02-12 11:35,2026-02-12 11:35,https://tqresearchrepo.dovetail.com/tags/5raw4cypa7pyl1YRRnmDgV
missing Questions ,,Challenges and Workarounds,Tags,2026-06-02 11:53,2026-06-02 11:53,https://tqresearchrepo.dovetail.com/tags/5tzjzolUHIKd5GToN2vM1C
fee notification ,,"Fees, charges and quotes",Tags,2026-06-04 10:34,2026-06-04 10:34,https://tqresearchrepo.dovetail.com/tags/5tJOcsvm5hxZtdqM5tsifU
Need improvement,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-12 10:36,https://tqresearchrepo.dovetail.com/tags/5xdBZ90eexFuudiumA3xHO
Email comms,,General UX ,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5ypDxa9edrNx8fNqhhQLW9
Support desk/ Human support,,Customer support & human assistance,Tags,2026-02-10 11:45,2026-03-03 11:44,https://tqresearchrepo.dovetail.com/tags/5yqou124uD4N6FA05S8Ueg
Payment Reference,,Payments,Tags,2026-06-02 11:06,2026-06-02 11:06,https://tqresearchrepo.dovetail.com/tags/5AiEFUE2GnA0PFti8meqW8
No improvements,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5DbZfST4AmMhZWezFLYdTT
Prior approvals,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/5OSAMMpj3cd4CHUHozaLKh
